Dish names,Calories,Carbs,Chol (mg),Fiber,Protein,Sat_fat,Salt (mg),Sugar,Fat,Unsat_fat
PadKrapow,372,30.696503496503496,81.16363636363636,0.5202797202797202,26.013986013986013,3.6419580419580417,614.9706293706294,3.1216783216783215,15.608391608391607,0.0
PadThai,486,50.24878836833602,73.01777059773828,3.9256865912762517,15.702746365105007,3.9256865912762517,792.9886914378028,14.132471728594506,26.694668820678512,0.0
HainaneseChickenRice,597,73.55587392550143,84.95988538681948,1.7106017191977076,34.212034383954155,4.56160458452722,642.0458452722063,5.1318051575931225,17.106017191977077,0.0
GreenChickenCurry,240,7.627118644067796,28.983050847457626,1.0169491525423728,13.728813559322033,12.203389830508474,475.4237288135593,3.559322033898305,20.847457627118644,0.0
ShrimpStickyRice,477,48.08467741935484,548.1653225806451,0.0,46.16129032258064,0.0,3256.2943548387098,44.23790322580645,9.616935483870968,0.0
ShrimpFriedRice,289,33.79713603818616,145.53460620525058,1.3794749403341289,12.41527446300716,2.0692124105011933,533.8568019093078,1.3794749403341289,11.035799522673031,0.0
ChickenPorridge,228,19.387755102040817,32.57142857142857,2.326530612244898,12.408163265306122,2.326530612244898,1229.9591836734694,3.1020408163265305,11.63265306122449,0.0
KanomJeenNamYa,81,6.8999999999999995,30.9,0.3,3.0,3.5999999999999996,55.199999999999996,0.8999999999999999,4.8,0.8999999999999999
ShrimpGlassNoodles,300,21.29032258064516,150.96774193548387,1.935483870967742,27.096774193548388,3.870967741935484,1958.7096774193549,17.41935483870968,11.612903225806452,0.0
AmericanFriedRice,790,,,,,,,,,
SausageFriedRice,610,51.96296296296296,175.09259259259258,5.648148148148148,19.203703703703702,11.296296296296296,1065.2407407407406,5.648148148148148,36.148148148148145,0.0
TomJuedMooSap,80,5.806451612903226,20.161290322580644,0.967741935483871,6.774193548387097,0.6451612903225806,234.03225806451613,2.096774193548387,2.7419354838709675,1.935483870967742
KaiPalo,180,,,,,,,,,
OnionSoup,180,28.8,0.0,7.2,7.2,0.0,1857.6000000000001,14.4,0.0,0.0
TomYumKung,229,14.53968253968254,250.8095238095238,3.634920634920635,36.34920634920635,0.0,1879.2539682539682,0.0,3.634920634920635,0.0
TomKhaGai,357,22.71818181818182,65.99090909090908,4.327272727272727,29.209090909090907,14.063636363636363,1425.8363636363636,12.98181818181818,18.39090909090909,0.0
LengZab,140,,,,,,,,,
GlassNoodlesSoup,300,18.81918819188192,59.778597785977865,1.1070110701107012,15.498154981549817,6.642066420664207,433.9483394833949,1.1070110701107012,17.71217712177122,8.85608856088561
CoconutCustard,540,,,,,,,,,
KhanomMawKaeng,244,36.6,103.14545454545456,0.0,4.4363636363636365,7.763636363636364,54.345454545454544,35.49090909090909,8.872727272727273,2.2181818181818183
MangoStickyRice,270,49.37142857142857,0.0,1.5428571428571427,3.0857142857142854,6.171428571428571,57.08571428571428,22.114285714285714,7.199999999999999,0.0
LodChongThai,215,39.81481481481482,0.0,0.7962962962962963,0.7962962962962963,5.574074074074074,104.31481481481481,21.5,6.37037037037037,1.5925925925925926
KanomKrok,240,45.88235294117647,0.0,3.5294117647058822,3.5294117647058822,3.5294117647058822,102.35294117647058,10.588235294117647,7.0588235294117645,0.0
Pudding,120,21.176470588235293,0.0,1.5126050420168067,2.5210084033613445,3.5294117647058822,7.0588235294117645,19.159663865546218,4.033613445378151,0.5042016806722689
VanillaIceCream,330,35.71764705882353,72.21176470588236,0.0,4.658823529411765,11.647058823529411,61.34117647058824,34.16470588235294,19.411764705882355,0.0
ApplePie,296,41.265415549597854,24.60053619302949,2.3806970509383376,1.5871313672922251,7.142091152815013,98.40214477211796,0.0,15.077747989276139,0.0
ChocolateCake,424,71.85343511450382,41.42900763358779,3.883969465648855,4.531297709923664,7.120610687022901,339.2,56.96488549618321,16.18320610687023,0.0
ChocolateIcecream,335,25.623229461756374,152.79036827195466,0.9490084985835694,3.7960339943342776,15.18413597733711,105.33994334277621,22.776203966005667,25.623229461756374,0.0
FriedCalamari,187,11.24812030075188,59.755639097744364,0.35150375939849626,5.272556390977444,2.1090225563909777,528.3101503759399,0.35150375939849626,13.357142857142858,0.0
EggRolls,480,33.053892215568865,57.48502994011976,2.874251497005988,20.119760479041915,7.18562874251497,316.16766467065867,1.437125748502994,30.179640718562876,0.0
ShrimpCake,990,22.0,951.5,5.5,110.0,11.0,2387.0,11.0,49.5,0.0
FishCake,147,10.75609756097561,51.09146341463415,0.8963414634146342,11.652439024390244,0.8963414634146342,138.9329268292683,1.7926829268292683,6.274390243902439,0.0
FriedShrimpBall,468,26.787878787878785,245.8181818181818,1.5757575757575757,23.636363636363637,4.727272727272727,606.6666666666666,4.727272727272727,29.939393939393938,0.0
HerbChicken,376,2.8377358490566036,144.72452830188678,0.0,52.49811320754716,2.8377358490566036,339.1094339622641,1.4188679245283018,15.607547169811319,0.0
GrilledShrimp,125,2.2865853658536586,175.3048780487805,0.7621951219512195,19.054878048780488,0.7621951219512195,446.6463414634146,0.0,4.573170731707317,0.0
CrispyCrab,544,33.221374045801525,128.73282442748092,1.3842239185750635,23.53180661577608,15.226463104325699,1076.9262086513995,0.0,35.98982188295165,0.0
MiangKham,280,29.866666666666667,16.177777777777777,4.977777777777778,11.2,8.711111111111112,406.93333333333334,19.91111111111111,14.933333333333334,0.0
ShrimpDumpling,300,30.868167202572348,41.47909967845659,0.9646302250803859,11.57556270096463,1.9292604501607717,1517.363344051447,1.9292604501607717,14.469453376205788,0.0
SaladRoll,182,35.51219512195122,24.414634146341466,2.2195121951219514,6.658536585365854,0.0,676.9512195121952,11.097560975609756,2.2195121951219514,0.0
